candidate,family,quant,sample_id,raw_detection_count,measurement_count,installed_object_count,installed_tp,installed_fp,installed_fn,installed_duplicate_count
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000025_frame102244,4,4,4,3,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000037_frame102268,3,3,3,2,1,1,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000056_frame102306,4,4,4,2,2,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000057_frame102308,4,4,4,2,2,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000061_frame102316,6,6,6,3,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000063_frame102320,6,6,6,4,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000076_frame102346,9,9,9,6,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000084_frame102362,9,9,9,6,3,1,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000089_frame102372,10,10,10,7,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000093_frame102380,11,11,11,7,4,0,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000127_frame102448,9,9,9,5,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000128_frame102450,7,7,7,5,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000131_frame102456,7,7,7,6,1,0,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000135_frame102464,8,8,8,5,3,0,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000137_frame102468,9,9,9,4,5,2,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000140_frame102474,7,7,7,4,3,2,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000142_frame102478,6,6,6,3,3,3,3
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000143_frame102480,5,5,5,3,2,3,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000148_frame102490,5,5,5,4,1,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000183_frame102560,5,5,5,3,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000198_frame102590,5,5,5,3,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000254_frame102702,1,1,1,1,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000255_frame102704,1,1,1,1,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000263_frame102720,3,3,3,3,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000273_frame102740,3,3,3,3,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000274_frame102742,2,2,2,2,0,1,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000278_frame102750,5,5,5,3,2,1,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000284_frame102762,5,5,5,5,0,0,0
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000290_frame102774,9,9,9,5,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000296_frame102786,9,9,9,5,4,1,4
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000298_frame102790,4,4,4,3,1,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000309_frame102812,6,6,6,4,2,2,1
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000316_frame102826,7,7,7,4,3,2,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000329_frame102852,8,8,8,5,3,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000349_frame102892,8,8,8,6,2,0,2
baseline,noae,uint8,moving_ego_pps200000_crowded_8loops_stride2_000381_frame102956,2,2,2,2,0,0,0
