episode_id,run_group,scenario_family,split,ground_truth_path,prediction_path,ground_truth_sha256,prediction_sha256
pcarv5_fast_te01,policy_corpus_advisor_rich_v5__test__fast__01,exact_fast_convoy,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_te01/streams/fusion_ego_5714_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_te01/streams/fusion_ego_5714_object_predictions.csv,ddb1e84de312a372646c20cae728e3e6e03151795bb2841abb4fceefee363312,ab2e70c7d0bcb6b1c64ce06d916554e2c335e78bde38b919c0d1d96b8f9e612a
pcarv5_fast_te02,policy_corpus_advisor_rich_v5__test__fast__02,exact_fast_convoy,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_te02/streams/fusion_ego_5769_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_te02/streams/fusion_ego_5769_object_predictions.csv,1466446515bc06263da7e8a3b3d9ee5f3744668d3997e1b71348d8fd569d11e0,147657b925b3a9debd5966f16b047a10db1d5873934994c5cb312924b2d1ba7c
pcarv5_fast_tr01,policy_corpus_advisor_rich_v5__train__fast__01,exact_fast_convoy,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr01/streams/fusion_ego_5384_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr01/streams/fusion_ego_5384_object_predictions.csv,f198beb6c9730552260561bc8381c75cb338064277ff21ae3138cf946b012066,c1d1d750f1433c9e0dcdbdec6cf8a67ce5b3eb02ab9e6636a73b2b1bb7149eda
pcarv5_fast_tr02,policy_corpus_advisor_rich_v5__train__fast__02,exact_fast_convoy,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr02/streams/fusion_ego_5439_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr02/streams/fusion_ego_5439_object_predictions.csv,89bd91924f4dee69f22779f1441ed0b0ef67079a0140c2ed57cab63a5038eb6a,ef0308433f7c9a4eaabaaf9b508159c5643271ea7106e45f053210b142d5148a
pcarv5_fast_tr03,policy_corpus_advisor_rich_v5__train__fast__03,exact_fast_convoy,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr03/streams/fusion_ego_5494_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr03/streams/fusion_ego_5494_object_predictions.csv,baa53f45bef77e4fd2f4f6d69650b185c8dd5f53f8da03f69e1388d275b96fae,1eaff2a96f3ec1a3e89435c97f3c74c229654e0fe4efba4f07ebb38075046f62
pcarv5_fast_tr04,policy_corpus_advisor_rich_v5__train__fast__04,exact_fast_convoy,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr04/streams/fusion_ego_5549_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_tr04/streams/fusion_ego_5549_object_predictions.csv,e314c04536dc1a72b9e165ac1dcadec6fdb9d57dcf43e05cb34b2918255d4142,473f9117309df4524251cf332125b857bd79afed81494a22038787d8d2a5a808
pcarv5_fast_va01,policy_corpus_advisor_rich_v5__validation__fast__01,exact_fast_convoy,validation,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_va01/streams/fusion_ego_5604_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_va01/streams/fusion_ego_5604_object_predictions.csv,0d3a9bcd6d0f6d25f64c6152dcfad6029a16ff3404ba447dfe121dcdbabcd4ec,6bdf8fd99a2a030783fde366037221b2ae39a3c12ca820dd6e23435caf5ea8f8
pcarv5_fast_va02,policy_corpus_advisor_rich_v5__validation__fast__02,exact_fast_convoy,validation,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_va02/streams/fusion_ego_5659_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_fast_va02/streams/fusion_ego_5659_object_predictions.csv,2141b12dcc30d9ab7244da26157640bb932af8be74481171ca22b84da2d97276,528e275fb5cf078243b76908b859990dc562b61dd0d82e138161430a537445d8
pcarv5_mixed_te01,policy_corpus_advisor_rich_v5__test__mixed__01,mixed_urban,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_te01/streams/fusion_ego_4348_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_te01/streams/fusion_ego_4348_object_predictions.csv,b27b4c7f6efd1a398c87c05f05bb15e4cb141d4a15cac2cfc2519f64fc9faa5e,07451a9a2eb10d80913befd79cf6250a7fa5f138631e01d09cd3f7cdc71dffad
pcarv5_mixed_te02,policy_corpus_advisor_rich_v5__test__mixed__02,mixed_urban,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_te02/streams/fusion_ego_4434_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_te02/streams/fusion_ego_4434_object_predictions.csv,a05728d79693699f9f87c1a07c1adeffe4f61167bd0e8543b7822df16e65ec35,2d088e46cc58f589816d49653f19949f5a92e6e0f187a25dbc719b64f35b9190
pcarv5_mixed_tr01,policy_corpus_advisor_rich_v5__train__mixed__01,mixed_urban,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr01/streams/fusion_ego_3832_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr01/streams/fusion_ego_3832_object_predictions.csv,6c862f32c75301ce239c611ed5cc1eaa471f3061493607519c5a2d78fe8aa206,849c04d0573bb086b20ba164b7afb056eaf3379ddb5d2451c677d356b74bcced
pcarv5_mixed_tr02,policy_corpus_advisor_rich_v5__train__mixed__02,mixed_urban,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr02/streams/fusion_ego_3918_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr02/streams/fusion_ego_3918_object_predictions.csv,3c6eba28f0b8fd91f40c8111a0165f9cd4171b349405a817d03035c2412bd9fb,e43bd4c22db4611d3424d60dcc92889ef3f09a2f53301085b0b3ce678403a201
pcarv5_mixed_tr03,policy_corpus_advisor_rich_v5__train__mixed__03,mixed_urban,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr03/streams/fusion_ego_4004_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr03/streams/fusion_ego_4004_object_predictions.csv,0b49deb8c85ea68971a6198148938fdc954865fab9ed65a4656970dd8ea4178d,e822d2e1a6960e958de6e9b3501cf82ed4fbefc35b43f89b24d9035cbdb1a7e3
pcarv5_mixed_tr04,policy_corpus_advisor_rich_v5__train__mixed__04,mixed_urban,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr04/streams/fusion_ego_4090_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_tr04/streams/fusion_ego_4090_object_predictions.csv,8669caf863209bc47c6f6aadae69239e43ef3817fc448820aa511e0b7c5291bc,92bd35c9c21567d0efece9654598e5063b257df2fc9326ed49a3517c29ed00ee
pcarv5_mixed_va02,policy_corpus_advisor_rich_v5__validation__mixed__02,mixed_urban,validation,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_va02/streams/fusion_ego_4262_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_mixed_va02/streams/fusion_ego_4262_object_predictions.csv,82ae4240839c8c02a17210007906e83cd9a0e066d37a53ce2a41de45dfb5bf32,7adc9f5c7151e408a3c94eb7cabae7526f9640f046254a8982069ce942872a51
pcarv5_ped_te01,policy_corpus_advisor_rich_v5__test__ped__01,ped_crossing,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_te01/streams/fusion_ego_5218_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_te01/streams/fusion_ego_5218_object_predictions.csv,12eb2b2062c66af42ae5fdf2f00795399066dad36efae904fec8cff562a0db24,185f48821635d0fc10101cbf3e3e1d6f12b6bc710b8c2203021a7587cd90b9af
pcarv5_ped_te02,policy_corpus_advisor_rich_v5__test__ped__02,ped_crossing,test,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_te02/streams/fusion_ego_5330_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_te02/streams/fusion_ego_5330_object_predictions.csv,2ad509e06ec49a0e8d3995d94c08d8d88292935a83bb56b497eed0ee57cbe14b,7576bcf413a210f097560cf9086fae5c4187ca7d1223d0b00de0061e223edd94
pcarv5_ped_tr01,policy_corpus_advisor_rich_v5__train__ped__01,ped_crossing,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr01/streams/fusion_ego_4546_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr01/streams/fusion_ego_4546_object_predictions.csv,b6b4aee8b53daae53e76a89a5e113f1b98f563bbb6d614c5d10aad1546e557c9,b3bbe5108a10ed87934663ba35c1e8bf8c22d67463ba3c5a96e152fa3b7d6b0c
pcarv5_ped_tr02,policy_corpus_advisor_rich_v5__train__ped__02,ped_crossing,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr02/streams/fusion_ego_4658_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr02/streams/fusion_ego_4658_object_predictions.csv,ab38e53f7ac1591e1b2b30a3079223266aaafb27273b21d444307a797d71707a,44b8db4ae664a783e1e7c769a018b1e3caa5bdbcac93c335f4ccf0361c324993
pcarv5_ped_tr03,policy_corpus_advisor_rich_v5__train__ped__03,ped_crossing,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr03/streams/fusion_ego_4770_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr03/streams/fusion_ego_4770_object_predictions.csv,e17593fce73e7ff7d3908695d7e7899472997bfa0429029897adae29eb951674,b12bfec258d7da4d06cb17f3318a3389042f5104c4609b4c22fdd6c2a0c31fae
pcarv5_ped_tr04,policy_corpus_advisor_rich_v5__train__ped__04,ped_crossing,train,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr04/streams/fusion_ego_4882_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_tr04/streams/fusion_ego_4882_object_predictions.csv,cebfbda10eba83b4374abe4820fb72c02286083443c9a6b798c34985232ce8ee,9cab14aa0fe133e7efb29335ca9f942b71c64cc9f740648965bb1731f39dce9a
pcarv5_ped_va01,policy_corpus_advisor_rich_v5__validation__ped__01,ped_crossing,validation,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_va01/streams/fusion_ego_4994_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_va01/streams/fusion_ego_4994_object_predictions.csv,a328e7fff78a617829e18ab777d7380de3000e8ce5953e46531308913c32b39e,ce2e93f22f35ae184562819adc3a1d4ec962df8b6af364a9ffadb75b8a1feda6
pcarv5_ped_va02,policy_corpus_advisor_rich_v5__validation__ped__02,ped_crossing,validation,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_va02/streams/fusion_ego_5106_object_ground_truth.csv,data_collection/experiments/policy_corpus_advisor_rich_v5/20260813_045142_full/runs/pcarv5_ped_va02/streams/fusion_ego_5106_object_predictions.csv,2919bc1888e05395f34de185def65a8193c946f281d8a20ed28973ec52bf7fae,4372fbbe6b7b3bc5d5236b9c4ed018baf83a4b4fc1cc50c77804bf794d42554c
